N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
65536,1000,0.345513,0.338818,0.373136,0.345275,0.345857,0.033348,0.008511,0.008280,0.006663,0.006416,0.003928,0.003939,0.003941,0.003907,0.003920,189677.376402,193425.230918,175635.777206,189808.102600,189488.940789,5895711.833626,23099576.481932,23744026.985397,29508558.282224,30645627.034857,50057230.378694,49906875.369354,49886213.292828,50324113.128173,50150001.932058
131072,1000,0.573338,0.581524,0.566469,0.571835,0.561254,0.006999,0.007985,0.007424,0.006535,0.007033,0.004128,0.004151,0.004141,0.004172,0.004131,228612.119388,225393.875288,231384.081068,229212.964407,233534.043178,56182278.709100,49245869.372829,52967735.242154,60170359.614309,55912464.624159,95246815.533206,94727280.105140,94967055.494366,94247314.452949,95187474.010717
262144,1000,1.001649,0.984996,0.985562,0.997457,0.933870,0.009340,0.016846,0.010699,0.008609,0.009634,0.006850,0.006843,0.006883,0.006902,0.006897,261712.334786,266137.078635,265984.392785,262812.408699,280707.120628,84204342.082701,46684074.830636,73502975.362212,91352125.719486,81633291.452744,114807840.900931,114921487.170242,114259543.516827,113936615.134309,114026688.956214
524288,1000,1.668587,1.745331,1.712848,1.689333,1.759591,0.013779,0.014056,0.019328,0.013103,0.013477,0.012023,0.012064,0.011999,0.011996,0.012005,314210.771245,300394.545374,306091.376091,310352.017278,297960.079894,114145805.624647,111898984.614538,81377408.840354,120036780.454138,116705001.247931,130825722.768038,130376042.508679,131086486.138598,131112548.917436,131013720.952034
1048576,1000,3.114265,2.909403,2.913221,2.836280,2.858737,0.022380,0.023080,0.027833,0.022455,0.022529,0.021887,0.021841,0.021859,0.021886,0.021874,336700.911373,360409.363675,359937.035669,369701.118471,366796.983371,140559212.420907,136295042.314450,113022004.109069,140093176.487798,139628232.226852,143728710.388981,144030607.158027,143912635.838002,143730676.703285,143808093.753155
2097152,1000,5.463251,5.403037,5.924904,5.487922,5.297526,0.038680,0.046544,0.038557,0.048043,0.038771,0.039761,0.039744,0.039678,0.039730,0.039719,383865.185394,388143.220566,353955.467211,382139.508624,395873.832038,162653733.687842,135172386.297671,163174224.708437,130955997.491216,162274060.479575,158231346.597749,158300787.597820,158562875.794228,158357236.600491,158400095.617253
