N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
131072,2000,1.019264,1.005692,1.038467,1.034037,1.157898,0.008108,0.008039,0.008982,0.007767,0.007376,0.004630,0.004594,0.004740,0.004479,0.004459,253138471.027889,256554606.091401,248457588.221525,249521931.786105,222830516.825368,31821166444.393387,32094279057.822571,28726496403.109222,33218773506.125309,34978998934.556145,55724804953.485909,56163518933.350418,54431817892.855331,57606775916.544144,57862894404.977440
262144,2000,1.781200,1.952356,1.977440,1.848826,2.033290,0.009073,0.009017,0.008796,0.009228,0.009305,0.006257,0.006370,0.006418,0.006294,0.006581,291953734.577093,266359156.608922,262980335.664004,281274688.520686,255756902.569326,57315882171.901054,57668789991.803024,59123858368.653229,56355968923.460396,55883971913.501907,83113006335.819519,81640652213.150726,81024849206.494217,82623107805.586380,79014488821.399811
524288,2000,3.339887,3.385164,3.249823,3.144946,3.619143,0.011555,0.011571,0.011115,0.011463,0.010852,0.009439,0.009511,0.009593,0.009465,0.009495,312601551.486973,308420379.298854,321264830.524579,331978307.658830,288480934.896912,90351306631.303223,90227305673.798447,93929270175.523468,91081361170.093536,96210498314.980515,110605095278.132812,109769995585.074860,108836791744.093292,110305968648.937500,109963069859.392166
1048576,2000,5.507844,4.824430,4.673906,4.733528,5.227041,0.015677,0.015992,0.016080,0.015582,0.016217,0.015299,0.015434,0.015240,0.015245,0.015323,379841087.779072,433648172.822613,447613966.070404,441975882.833570,400246573.673316,133448206090.939697,130819104019.529465,130107943774.149979,134264009422.410797,129009120195.207962,136743680101.651215,135556052963.980209,137274313434.962845,137233990273.346268,136531068142.823212
2097152,2000,9.003550,8.361228,9.248216,8.439569,8.997366,0.024624,0.024930,0.024731,0.024773,0.024891,0.026395,0.026358,0.026286,0.026259,0.026303,465173042.118402,500908325.577251,452866679.393263,496258609.592387,465492796.062808,170085514495.417725,167999828630.482941,169348244975.431213,169063259092.223114,168264625823.358917,158672156034.336945,158897294803.358673,159331524660.191986,159493407599.811676,159226833686.188324
