N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
65536,1000,0.145523,0.127258,0.142978,0.130755,0.123910,0.010080,0.011054,0.009427,0.009494,0.009041,0.002078,0.002374,0.002011,0.002061,0.001905,450348.268093,514986.924318,458363.159514,501211.049057,528898.193012,6501642.017532,5928685.676797,6952276.338371,6902675.025850,7248984.786921,31536229.521550,27604441.023695,32580761.949539,31796351.590541,34401270.174888
131072,1000,0.244806,0.242389,0.247572,0.238748,0.255250,0.009950,0.009993,0.011281,0.009749,0.009951,0.002765,0.002777,0.003136,0.002755,0.002774,535411.096522,540749.824124,529428.866162,548996.122275,513504.691438,13173194.976624,13116024.589614,11619058.829146,13445274.359362,13171711.196265,47407924.734560,47199745.905399,41791200.427282,47569084.260307,47245950.160349
262144,1000,0.479008,0.470932,0.488710,0.492386,0.477828,0.010721,0.012595,0.010878,0.010613,0.010556,0.004010,0.004631,0.004185,0.004073,0.004081,547264.753979,556649.138288,536399.492711,532394.922388,548616.240983,24451468.681044,20812995.082162,24099072.750537,24700061.870657,24833215.725530,65379025.150552,56602374.537055,62637889.703375,64358688.500414,64242367.193780
524288,1000,0.952188,0.968082,0.954229,0.944171,0.923645,0.012979,0.011659,0.011879,0.011943,0.011824,0.007172,0.006357,0.006309,0.006425,0.006381,550614.051009,541574.186281,549436.226848,555289.053755,567629.217076,40394552.337001,44966813.931136,44134534.287825,43898777.374408,44342684.216324,73103528.918628,82468961.288194,83104154.620730,81595227.547912,82164296.851012
1048576,1000,1.881055,1.911216,1.918760,1.905904,1.827417,0.014220,0.013827,0.014068,0.014281,0.014139,0.010580,0.010594,0.010573,0.010797,0.010553,557440.435275,548643.274894,546486.148437,550172.643004,573802.194422,73738204.520261,75832811.022156,74534663.542903,73424918.748863,74162735.928873,99112935.792271,98975056.186535,99176511.332485,97113975.524466,99361817.748898
2097152,1000,3.834289,3.702216,3.904660,3.931744,3.736714,0.019096,0.018848,0.081490,0.019030,0.018806,0.016717,0.016637,0.017046,0.016742,0.016884,546946.825719,566458.543971,537089.591052,533389.813776,561228.902339,109823396.554636,111266948.776446,25735208.394722,110202384.394799,111514942.037048,125446689.452525,126051612.798570,123028759.473852,125262148.459369,124211350.594192
