N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
65536,10000,1.114827,1.133347,1.113388,1.111492,1.114601,0.070382,0.077833,0.068291,0.080384,0.067596,0.005697,0.005888,0.005690,0.005929,0.005797,58785.813244,57825.181628,58861.784942,58962.190303,58797.739173,931140.959111,842005.605530,959659.804656,815289.555075,969523.846626,11504278.570633,11130884.370266,11517912.527719,11053003.794586,11305294.702445
131072,10000,2.298509,2.301109,2.346741,2.297804,2.319406,0.070326,0.071331,0.069209,0.080232,0.069641,0.006440,0.006767,0.006299,0.006803,0.006258,57024.799825,56960.370471,55852.768946,57042.289492,56511.008752,1863764.419407,1837525.704052,1893859.784192,1633653.808155,1882123.114156,20352750.429644,19369765.128162,20809144.529189,19267385.241613,20943262.501163
262144,10000,4.606259,4.468423,4.456967,5.011185,4.679136,0.089379,0.080870,0.072559,0.072610,0.078411,0.008174,0.008415,0.007290,0.007276,0.007676,56910.386657,58665.891666,58816.676142,52311.779595,56024.021152,2932941.334345,3241535.538811,3612861.999136,3610291.671132,3343203.152937,32071781.627999,31153150.517698,35960174.649203,36030235.922466,34149807.926427
524288,10000,9.085971,9.028153,9.134177,9.154621,9.432328,0.090123,0.090898,0.087965,0.091575,0.092340,0.009786,0.009893,0.009528,0.010067,0.010853,57703.024893,58072.567522,57398.491670,57270.311301,55584.155367,5817480.539147,5767867.680579,5960214.523711,5725252.463709,5677809.660322,53575360.054744,52996755.512029,55023608.831743,52080189.846052,48309284.606012
1048576,10000,19.167437,18.527458,19.142440,19.038762,18.425110,0.120246,0.117787,0.115373,0.115007,0.123020,0.014358,0.014381,0.014323,0.014709,0.014677,54706.114305,56595.783386,54777.552814,55075.849934,56910.161168,8720288.136519,8902326.958812,9088560.044257,9117509.116408,8523591.601228,73031587.694629,72915729.339991,73208435.326602,71286301.350098,71441185.770393
2097152,10000,37.079588,36.751267,36.943938,37.889105,36.644757,0.164523,0.169462,0.164362,0.162788,0.160557,0.024665,0.024515,0.024672,0.025189,0.024406,56558.125160,57063.393647,56765.795156,55349.736642,57229.250621,12746827.838360,12375355.577499,12759367.295036,12882748.038819,13061694.537458,85024963.433476,85545268.836239,85001888.315152,83257796.492100,85928029.133002
