N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
131072,4000,2.360670,2.334015,2.626150,2.615609,2.561230,0.013485,0.011441,0.012627,0.011822,0.011687,0.009261,0.008891,0.009548,0.009056,0.008958,215261296.285925,217719680.400182,193500353.137163,194280172.762777,198405057.076524,37683820176.953346,44416629462.401649,40243571198.052254,42983167051.310074,43480751169.429619,54870880476.509804,57155886600.772385,53222667870.597847,56115915489.535873,56725176974.616272
262144,4000,4.102291,3.898464,4.013177,4.169195,3.454295,0.014995,0.015247,0.015220,0.015088,0.014680,0.012617,0.012782,0.012609,0.012683,0.012619,251644258.551678,264801210.703569,257232069.664149,247606025.272944,298850479.483454,68843160474.138901,67704539301.095810,67826559046.397491,68421807848.693611,70321259833.627686,81820355580.676514,80764024628.483643,81871262705.194550,81396801289.551102,81807946049.672516
524288,4000,5.939268,6.212606,5.774677,6.072764,5.659674,0.019607,0.019412,0.019219,0.019317,0.019507,0.018940,0.019035,0.018796,0.018965,0.018920,350317863.812371,334904849.447916,360302687.171751,342616896.936586,367623968.583535,106116428473.848709,107183857427.172958,108258765175.117294,107711974968.072891,106658908701.864090,109852522523.657623,109304856489.853043,110695575612.789810,109707662428.158051,109972346492.417923
1048576,4000,9.765765,10.862517,10.020814,10.125987,10.022019,0.028271,0.028157,0.028838,0.028895,0.028943,0.030358,0.030299,0.030746,0.030569,0.030491,427745246.006485,384557238.307113,416858278.571958,412528598.091746,416808188.078821,147760099316.087494,148354028754.398285,144851570479.132477,144567901009.445923,144328347503.757355,137601323622.841888,137867492296.563080,135865563380.777512,136650875282.933701,137000070942.746933
2097152,4000,17.783942,16.835781,16.965206,16.157068,21.828271,0.046574,0.046060,0.046357,0.046385,0.046762,0.052643,0.052782,0.052554,0.053112,0.052519,470678263.268362,497186024.784094,493393049.934170,518071410.453537,383471267.089210,179724733889.986115,181729000934.687683,180566903472.749542,180457547403.044037,179004186578.831482,159005265915.281281,158586346472.870026,159273216532.708405,157600560359.097351,159379489482.295563
