N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
65536,100,0.018441,0.013642,0.012609,0.013098,0.012277,0.004110,0.003953,0.003721,0.003336,0.003963,0.000705,0.000812,0.000704,0.000719,0.000795,3553864.080665,4804072.944679,5197583.082778,5003671.700920,5337969.733518,15943850.944348,16577787.106898,17610917.456496,19645512.957536,16537761.133938,92927498.456790,80664752.906240,93135109.436255,91127909.864593,82486506.970702
131072,100,0.024291,0.036283,0.035173,0.035581,0.035175,0.003672,0.003615,0.003567,0.003878,0.003607,0.000721,0.000828,0.000725,0.000794,0.000725,5395956.597137,3612490.104692,3726493.785108,3683751.979481,3726300.547318,35698818.842466,36259834.239908,36748815.082931,33797451.422880,36340007.024723,181845359.372365,158248295.213930,180895003.261962,165083315.373324,180729838.940730
262144,100,0.069368,0.069130,0.068627,0.071064,0.069878,0.003473,0.003425,0.003678,0.003660,0.003879,0.000830,0.000844,0.000841,0.000773,0.000931,3779050.904403,3792050.222668,3819843.461257,3688859.255689,3751458.115297,75473042.657363,76532946.885262,71270259.507742,71628082.259418,67575875.479038,315877512.471432,310767278.883673,311848904.039668,339078884.362202,281660168.271294
524288,100,0.114244,0.093639,0.091815,0.092328,0.092474,0.003546,0.003498,0.004100,0.003786,0.003581,0.000989,0.001000,0.001005,0.001015,0.001024,4589212.169742,5599046.182053,5710270.511156,5678551.228834,5669600.305345,147856637.599086,149885606.460008,127887728.995058,138492456.391002,146406798.826278,530264452.565193,524052180.335881,521898222.116928,516392993.879155,512233695.254194
1048576,100,0.194949,0.205199,0.195653,0.194426,0.194504,0.003831,0.004258,0.004116,0.003968,0.004343,0.001287,0.001305,0.001298,0.001318,0.001291,5378724.890453,5110052.769469,5359358.560472,5393178.139918,5391021.021005,273679955.789860,246250773.559201,254779268.637623,264246067.075797,241462161.240425,814886024.759701,803222812.730162,807841427.181347,795529874.125969,812003654.227788
2097152,100,0.410882,0.361252,0.379895,0.390554,0.392084,0.004812,0.004462,0.004455,0.004750,0.004611,0.001901,0.001884,0.001906,0.001904,0.001886,5104026.910254,5805240.580915,5520341.096029,5369690.105616,5348729.086080,435788249.563447,470045565.008728,470775027.656362,441545478.655741,454792920.289697,1103145868.584270,1113165571.001757,1100073213.002657,1101561726.663294,1111740501.875611
