N,K,cpu_t1,cpu_t2,cpu_t3,cpu_t4,cpu_t5,gpu_t1,gpu_t2,gpu_t3,gpu_t4,gpu_t5,gpu_t1_shared,gpu_t2_shared,gpu_t3_shared,gpu_t4_shared,gpu_t5_shared,cpu_th1,cpu_th2,cpu_th3,cpu_th4,cpu_th5,gpu_th1,gpu_th2,gpu_th3,gpu_th4,gpu_th5,gpu_th1_shared,gpu_th2_shared,gpu_th3_shared,gpu_th4_shared,gpu_th5_shared
131072,1000,0.500695,0.495736,0.487673,0.471076,0.507978,0.005944,0.004849,0.004715,0.004719,0.006289,0.002335,0.002300,0.002297,0.002285,0.002485,259523310.118411,262119153.636866,266453002.740114,275840724.450574,255802253.748947,21860649260.035530,26797835489.843582,27559550508.192696,27538366270.830025,20662505179.143604,55647906385.984398,56506390816.520859,56563801102.204414,56866867799.934372,52281573218.167603
262144,1000,0.888656,0.804939,0.879982,0.846926,0.881854,0.005504,0.008900,0.005747,0.005640,0.006071,0.003192,0.003190,0.003145,0.003163,0.003186,293570088.369029,324102820.120537,296463816.865214,308034844.401881,295834610.937951,47399042381.574707,29312551953.728367,45394868594.164726,46259122672.351334,42974076393.859390,81718696622.982239,81794203497.447876,82954999083.415237,82480215466.634247,81885986527.386368
524288,1000,1.589413,1.684694,1.594253,1.597944,1.608850,0.007532,0.007204,0.007024,0.007324,0.007363,0.004828,0.004749,0.004785,0.004800,0.004748,328904211.041734,310302475.782392,327905749.674241,327148290.079717,324930642.132201,69407535061.482574,72561432542.459412,74426707113.786285,71373831911.348373,70995383854.061691,108284220567.417053,110067941714.055023,109256478411.976273,108917099867.781967,110099769927.312012
1048576,1000,2.835977,3.140642,2.847406,3.257344,3.007941,0.009760,0.009611,0.009102,0.010039,0.009278,0.007670,0.007693,0.007674,0.007675,0.007621,369018625.833552,333221161.272322,367537499.254256,321282697.064920,347921847.509712,107221274466.847366,108893889742.001434,114978054622.502686,104246427411.592361,112799540586.459335,136441431380.691101,136030634136.588562,136369477818.336746,136363596812.643417,137321775056.715942
2097152,1000,5.293048,5.130474,4.860865,4.909018,5.079167,0.014396,0.014132,0.013694,0.013853,0.014510,0.013261,0.013168,0.013193,0.013215,0.013222,395623803.362502,408160289.304736,430798980.972604,426573252.542057,412283334.693987,145458151755.814240,148175225454.356842,152913363184.934753,151158238893.048828,144321586282.000122,157910699206.404816,159025025218.270996,158726619874.759308,158460909136.314117,158375304831.034149
